Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Moon L.A., Clancy G., Welton J., Harper E.","57207306820;57064062700;7004620497;29467550100;","Nursing Value User Stories: A Value Measurement Method for Linking Nurse Contribution to Patient Outcomes",2019,"CIN - Computers Informatics Nursing","37","3",,"161","170",,4,"10.1097/CIN.0000000000000520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062422002&doi=10.1097%2fCIN.0000000000000520&partnerID=40&md5=c816a5fbe2da3ce5a430b3aa01a0ffa3","School of Nursing, University of Minnesota, 308 Harvard St SE, Minneapolis, MN  55455, United States; Advocate Consulting, Apple ValleyMN, United States; School of Nursing, University of Colorado-Denver, United States; University of Kansas, School of Nursing, Kansas City, United States","Moon, L.A., School of Nursing, University of Minnesota, 308 Harvard St SE, Minneapolis, MN  55455, United States; Clancy, G., School of Nursing, University of Minnesota, 308 Harvard St SE, Minneapolis, MN  55455, United States; Welton, J., Advocate Consulting, Apple ValleyMN, United States; Harper, E., School of Nursing, University of Colorado-Denver, United States, University of Kansas, School of Nursing, Kansas City, United States","The use of nursing big data sets for value-based measurement is novel. Nursing value measurement depends on the availability of essential data attributes in the electronic health record related to nursing care delivered (what happened, when, and the result seen). Key in measuring value is a standardized structure and format of these attributes for enabling uniform consistent analysis, along with data sets that are sharable and comparable across individuals and groups, time, organization, and practice focus. The foundation of such sharable and comparable data sets would represent at a minimum individual essential nurse care actions and the resulting patient outcome(s). While nurses generate an extraordinary amount of health-related data, healthcare information systems are not designed to collect structured data that reflect the unique attributes of nursing care or support nursing analytic activities that would measure value. More important, the multidimensional features of the nursing process are difficult to untangle and differentiate from other healthcare workers and nonnursing care activities. The complexity of nursing knowledge work has limited the development of nursing data science methods like value measurement and discouraged value versus cost discussions. This article sets out to describe nursing value measurement and an approach that nurse scientists are maximizing through methods adapted from agile project management, including user stories, and business analysis processes to recognize nurses as primary contributors to patient outcomes and value generation. Nursing Value User Story methods deconstruct complex nursing scenarios into user stories that capture nursing actions as standardized data that can be mapped to a common nursing data model. Methods described here are being used in pilot research at Los Angeles Children's Hospital, and results will be available in 2019. © 2019 Wolters Kluwer Health, Inc. All rights reserved.","Clinical data model; Hospital administration; Nurse cost models; Nurse value; Nursing administration; Nursing user stories; Risk-sharing arrangements; Value-based care","article; big data; California; child; controlled study; data science; electronic health record; hospital management; human; information system; nurse; nursing care; nursing knowledge; nursing management; nursing process; scientist; benchmarking; electronic health record; model; nursing practice; standards; statistics and numerical data; Benchmarking; Electronic Health Records; Humans; Models, Nursing; Practice Patterns, Nurses'","Moon, L.A.; School of Nursing, 308 Harvard St SE, United States; email: moonx222@umn.edu",,"Lippincott Williams and Wilkins",15382931,,,"30762611","English","CIN Comput. Informatics Nurs.",Article,"Final","",Scopus,2-s2.0-85062422002
"Hemdan E.E.-D., Essa Y.M., El-Sayed A., Shouman M., Moustafa A.N.","57190733374;56285316500;57204547379;57219362120;57202421499;","Smart water quality analysis using IoT and big data analytics: A review",2021,"ICEEM 2021 - 2nd IEEE International Conference on Electronic Engineering",,,"9480628","","",,,"10.1109/ICEEM52022.2021.9480628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114214294&doi=10.1109%2fICEEM52022.2021.9480628&partnerID=40&md5=2c1cf46d2d48b7f9c57428e527d80d02","Menofia University, Computer Science and Engineering Department, Faculty of Electronic Engineering, Menouf, Egypt; Principle Data and Knowledge. Bayer, Berlin, Germany","Hemdan, E.E.-D., Menofia University, Computer Science and Engineering Department, Faculty of Electronic Engineering, Menouf, Egypt; Essa, Y.M., Principle Data and Knowledge. Bayer, Berlin, Germany; El-Sayed, A., Menofia University, Computer Science and Engineering Department, Faculty of Electronic Engineering, Menouf, Egypt; Shouman, M., Menofia University, Computer Science and Engineering Department, Faculty of Electronic Engineering, Menouf, Egypt; Moustafa, A.N., Menofia University, Computer Science and Engineering Department, Faculty of Electronic Engineering, Menouf, Egypt","In recent times, water quality monitoring, observing, and testing have become a significant research study with the advancement on the Internet of Things, and Big Data analytics research ideas. The relationship between water demand and supply is very crucial for every country and is likewise a complex challenge to satisfy this requirement around the world. Water is compulsory for human survival being on the earth. Therefore, for survival, the preservation and taking care of the existing water resource are also equally substantial. Moreover, for a healthier society, access to clean and safe water resources is also imperative. To recognize the water quality effects and provide an automated water quality mentoring and a testing system can support in guaranteeing the safety of the water. This paper presents a study on water quality analysis using IoT and Big Data analytics. This can help in developing an agile environment that can handle the massive flow of water big data generated by the smart sensors spread everywhere around us. © 2021 IEEE.","And Big Data Analytics; Ater Quality; Cloud Computing; Internet of Things","Advanced Analytics; Big data; Data Analytics; Internet of things; Quality control; Safety testing; Water quality; Agile environment; Human survival; Research studies; Testing systems; Water demand and supply; Water quality analysis; Water quality monitoring; Water resources",,,"Institute of Electrical and Electronics Engineers Inc.",,9781665418423,,,"English","ICEEM - IEEE Int. Conf. Electron. Eng.",Conference Paper,"Final","",Scopus,2-s2.0-85114214294
"Chen W., Wei S., Yin J., Chen X.","57222610945;56103728200;57216529060;56609350600;","How big data analytics improve supply chain performance: Considering the roles of supply chain and is strategy",2020,"International Conference on Information Systems, ICIS 2020 - Making Digital Inclusive: Blending the Local and the Global",,,,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103444769&partnerID=40&md5=b247dce725cb621b5e2b8a8776a11072","School of Management, University of Science and Technology of China, 96 Jinzhai Road, Anhui, Hefei  230026, China; School of Management, Hefei University of Technology, Hefei, Anhui  230009, China","Chen, W., School of Management, University of Science and Technology of China, 96 Jinzhai Road, Anhui, Hefei  230026, China; Wei, S., School of Management, University of Science and Technology of China, 96 Jinzhai Road, Anhui, Hefei  230026, China; Yin, J., School of Management, University of Science and Technology of China, 96 Jinzhai Road, Anhui, Hefei  230026, China; Chen, X., School of Management, Hefei University of Technology, Hefei, Anhui  230009, China","This paper aims to examine the relationship between big data analytics (BDA) and supply chain (SC) performance. Drawing on the dynamic capabilities theory, we hypothesize that supply chain strategy (i.e., lean and agile supply chain strategy) will positively mediate the relationship between BDA and SC performance. Further, from the perspective of strategy alignment, we also hypothesize that the effect of supply chain strategy on SC performance will be moderated by IS strategy (i.e., IS innovator and IS conservative strategy). Our study uses 159 match-paired questionnaires collected from Chinese firms to empirically test the hypotheses. This paper explains how BDA can improve SC performance and reveals the interaction effect of IS strategy and supply chain strategy on SC performance, which contributes to theoretical and practical implications. © ICIS 2020. All rights reserved.","Agile supply chain strategy; Big data analytics; IS conservative strategy; IS innovator strategy; Lean supply chain strategy; Supply chain performance","Big data; Blending; Data Analytics; Information systems; Information use; Supply chains; Surveys; Agile supply chains; Chinese firms; Dynamic capabilities; Interaction effect; IS strategy; Strategy alignment; Supply chain performance; Supply chain strategy; Advanced Analytics",,,"Association for Information Systems",,9781733632553,,,"English","Int. Conf. Inf. Syst., ICIS - Mak. Digit. Incl.: Blending Local Glob.",Conference Paper,"Final","",Scopus,2-s2.0-85103444769
"Pivetta T.A., Forster C.H.Q., Dias L.A.V., Guerra E.M.","56237525300;19337099700;36011475700;24476299600;","Development of human faces retrieval in a big photo database with SCRUM: A case study",2018,"Advances in Intelligent Systems and Computing","558",,,"943","945",,1,"10.1007/978-3-319-54978-1_122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048501559&doi=10.1007%2f978-3-319-54978-1_122&partnerID=40&md5=f85fed6ecf0688c671a227619e9f3b6d","Instituto Tecnologico de Aeronautica, ITA, Sao Jose dos Campos, Sao Paulo, Brazil; Instituto Nacional de Pesquisa Espacial, INPE, Sao Jose dos Campos, Sao Paulo, Brazil","Pivetta, T.A., Instituto Tecnologico de Aeronautica, ITA, Sao Jose dos Campos, Sao Paulo, Brazil; Forster, C.H.Q., Instituto Tecnologico de Aeronautica, ITA, Sao Jose dos Campos, Sao Paulo, Brazil; Dias, L.A.V., Instituto Tecnologico de Aeronautica, ITA, Sao Jose dos Campos, Sao Paulo, Brazil; Guerra, E.M., Instituto Nacional de Pesquisa Espacial, INPE, Sao Jose dos Campos, Sao Paulo, Brazil","In this paper we present a case study of the use of SCRUM in an applied research scenario, consisting of the detection and identification of human faces in a large database of photos. The study shows how the adoption of agile methods was important to deal with uncertainty and unstable requirements, allowing adaptable development with opportunity to learn from the development process. The implementation of experiments reveals, as our research advances, the applicability of techniques to support the solution for the requirements. All sort of problems with illumination, pose, low quality of image and other type of noise were present as obstacles to accuracy in different approaches for detection and recognition. Fast retrieval of similar faces was also necessary. In the end, the requirements were successfully tackled by developing an efficient and short implementation of face alignment, feature extraction and search. © Springer International Publishing AG 2018.","Agile methodology; Big data; Face detection; Face recognition; SCRUM","Big data; Agile Methodologies; Applied research; Detection and identifications; Development process; Face alignment; Fast retrievals; Research advances; SCRUM; Face recognition","Pivetta, T.A.; Instituto Tecnologico de Aeronautica, Brazil; email: thorisangelo@hotmail.com","Latifi S.","Springer Verlag",21945357,9783319549774,,,"English","Adv. Intell. Sys. Comput.",Conference Paper,"Final","",Scopus,2-s2.0-85048501559
"Naseer A., Siddiqui A.M.","57520079000;57214609411;","The Effect of Big Data Analytics in Enhancing Agility in Cybersecurity Incident Response",2022,"2022 16th International Conference on Open Source Systems and Technologies, ICOSST 2022 - Proceedings",,,,"","",,,"10.1109/ICOSST57195.2022.10016853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147664943&doi=10.1109%2fICOSST57195.2022.10016853&partnerID=40&md5=b1f9d4608413636b9f6b0bba461430ca","National University of Sciences and Technology, Department of Computer Software Engineering, Islamabad, Pakistan; National University of Sciences and Technology, Department of Electrical Engineering, Islamabad, Pakistan","Naseer, A., National University of Sciences and Technology, Department of Computer Software Engineering, Islamabad, Pakistan; Siddiqui, A.M., National University of Sciences and Technology, Department of Electrical Engineering, Islamabad, Pakistan","The ongoing automation of business operations is putting enterprises at risk of cyber attacks more than ever before. Incident response teams are employed by the enterprises for the identification, management, and elimination of cybersecurity attacks along with for the recovery of business operations timely and effectively. In this paper, we argue that to effectively react to the cybersecurity attacks enterprises should build agility in their incident response method and big data analytics performs an effective role in developing agility in incident response. Grounded on twenty-one in depth expert interviews, we develop a framework that explains the salient features and effect of big data analytics in the incident response method at three stages, i.e., manual analysis, basic analysis, and advanced analysis. The agile properties of flexibility, innovation and swiftness are instilled in the incident response method by practicing big data analytics at higher stages of analysis. The results informed that the key features of big data analytics can be firstly utilize to estimate the existing analytical capability and secondly as an assisting tool to enhance incident response method capability. © 2022 IEEE.","agility; analytical capability; Big data analytics; cybersecurity; incident response","Big data; Crime; Data Analytics; Human resource management; Network security; Agility; Analytical capability; Big data analytic; Business operation; Cyber security; Cyber-attacks; Data analytics; Incident response; Manual analysis; Salient features; Cybersecurity",,,"Institute of Electrical and Electronics Engineers Inc.",,9781665464772,,,"English","Int. Conf. Open Source Syst. Technol., ICOSST - Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85147664943
"Victor V., Maria F.F.","57204876299;12765366300;","The era of big data and path towards sustainability",2018,"Proceedings of the 31st International Business Information Management Association Conference, IBIMA 2018: Innovation Management and Education Excellence through Vision 2020",,,,"561","568",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060782789&partnerID=40&md5=a8f0113ee7f3e7334ebab2bc78520c72","Szent István University, Hungary; Gödöllő, Hungary","Victor, V., Szent István University, Hungary; Maria, F.F., Gödöllő, Hungary","This paper is an attempt to throw light on the applications of big data analytics in nurturing sustainable develoment through a descriptive metadata study. Big data is widely used in many areas such as hospitality, transporataion, health, governance, e-commerce etc. Common applications of big data include consumer profiling, personalised pricing, marketing, advertising and predictive analysis. One of the formidable challanges confronted by the businesses in the contemporary period is to reconcile the conflicting interests of profit maximisation and fostering sustainability. The unprecedented magnitude of data generated within the organisations do have the potential to bring gainful insights for efficient resource utilisation and waste minimisation. The advent of big data aids in making these conflicting interests complementary by providing efficient and precise predicitions. A number of studies are going on to explore possible options avialable to leverage big data analytics to create social and environmental value. Novel analytical approaches, enormous amounts of data and new technology would help in gaining insights to frame more agile and efficient policies to protect the environment. This paper discusses how big data is applied in different areas to foster sustainability. © 2018 Elsevier Ltd. All rights reserved.","Big data; Gartner's model; Sustainability","Advanced Analytics; Big data; Conservation; Data Analytics; Information management; Marketing; Analytical approach; Consumer profiling; Descriptive metadata; Gaining insights; Gartner; Resource utilisation; Social and environmental; Waste minimisation; Sustainable development",,"Soliman K.S.","International Business Information Management Association, IBIMA",,9780999855102,,,"English","Proc. Int. Bus. Inf. Manag. Assoc. Conf., IBIMA: Innov. Manag. Educ. Excell. Vis.",Conference Paper,"Final","",Scopus,2-s2.0-85060782789
"Ishii K., Namiki S.","24724793300;7005869010;","Toward Automatized Handling of Future Agile Networks Employing Various Optical Switching Functionalities",2019,"OECC/PSC 2019 - 24th OptoElectronics and Communications Conference/International Conference Photonics in Switching and Computing 2019",,,"8818061","","",,,"10.23919/PS.2019.8818061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072333232&doi=10.23919%2fPS.2019.8818061&partnerID=40&md5=c34f299f9fce2db41320d11fd465bbb9","National Institute of Advanced Industrial Science and Technology (AIST), Umezono 1-1-1 Central 2, Tsukuba, 305-8568, Japan","Ishii, K., National Institute of Advanced Industrial Science and Technology (AIST), Umezono 1-1-1 Central 2, Tsukuba, 305-8568, Japan; Namiki, S., National Institute of Advanced Industrial Science and Technology (AIST), Umezono 1-1-1 Central 2, Tsukuba, 305-8568, Japan","Various optical switch systems will be required to support future wide application network areas having different requirements. A bottom-up modeling approach which will realize a common platform for automatized operation of physical layer is discussed. © 2019 The Institute of Electronics, Information and Communication Engineers (IEICE).","Photonic Networking/Switching System Designs and Architectures for Computing and Big Data; Software defined networking (SDN) for computing and big data control","Big data; Network layers; Optical switches; Photonics; Switching functions; Application networks; Bottom up models; Common platform; Data control; Optical switching; Photonic networking; Physical layers; Optoelectronic devices",,,"Institute of Electrical and Electronics Engineers Inc.",,9784885523212,,,"English","OECC/PSC - OptoElectron. Commun. Conf./Int. Conf. Photonics Switch. Comput.",Conference Paper,"Final","",Scopus,2-s2.0-85072333232
"Gabr B., Azer M.A.","57203915211;24476232400;","IoT Agile Framework Enhancement",2018,"1st International Conference on Computer Applications and Information Security, ICCAIS 2018",,,"8441993","","",,2,"10.1109/CAIS.2018.8441993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053551091&doi=10.1109%2fCAIS.2018.8441993&partnerID=40&md5=2a6097f6e8c81f2123ab4624d52130da","Wireless Intelligent Networks Centre (WINC), Nile University, Egypt; National Telecommunication Institute, Nile University, Egypt","Gabr, B., Wireless Intelligent Networks Centre (WINC), Nile University, Egypt; Azer, M.A., National Telecommunication Institute, Nile University, Egypt","Internet of Things (IoT) is considered as a trend nowadays. Devices connected to the internet interact with surrounding; this poses strong challenges in handling big data with a certain level of security. In this paper IoT devices will be divided in to two categories high vulnerability devices and low vulnerability devices. The classification depends on the ease of attacks. In order to ensure the security of IoT devices, an agile approach is used to secure high vulnerability devices as first step and then low vulnerability devices by applying encryption algorithms. © 2018 IEEE.","Agile approach; Encryption algorithms; Internet of Things","Big data; Cryptography; Security of data; Agile approaches; Encryption algorithms; Internet of Things (IOT); Iot devices; Internet of things",,,"Institute of Electrical and Electronics Engineers Inc.",,9781538644263,,,"English","Int. Conf. Comput. Appl. Inf. Secur., ICCAIS",Conference Paper,"Final","",Scopus,2-s2.0-85053551091
"da Silva D.A., Goncalves G.S., dos Santos S.C., Pugliese V.U., Navas J., de Barros Santana R.M., Queiroz F.S., Dias L.A.V., da Cunha A.M., Tasinaffo P.M.","36011440600;56715154000;57201702821;57190879509;57201696803;57201704435;57201696951;36011475700;16038527100;18937518500;","Health Care Information Systems: A Crisis Approach",2018,"Advances in Intelligent Systems and Computing","738",,,"233","244",,1,"10.1007/978-3-319-77028-4_34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045851932&doi=10.1007%2f978-3-319-77028-4_34&partnerID=40&md5=848c230639778cff543067bb0516f2c3","Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil","da Silva, D.A., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil; Goncalves, G.S., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil; dos Santos, S.C., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil; Pugliese, V.U., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil; Navas, J., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil; de Barros Santana, R.M., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil; Queiroz, F.S., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil; Dias, L.A.V., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil; da Cunha, A.M., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil; Tasinaffo, P.M., Computer Science Department, Brazilian Aeronautics Institute of Technology (Instituto Tecnológico de Aeronáutica—ITA), Sao Jose dos Campos, Sao Paulo, Brazil","During the 1st Semester of 2017, at the BrazilianAeronautics Institute of Technology (Instituto Tecnologico de Aeronautica, ITA), a successful Interdisciplinary Problem-Based Learning (IPBL) experience took place. At that time, almost 30 undergraduate and graduate students from three different courses within just 17 academic weeks had the opportunity of conceptualizing, modeling, and developing a Computer System based on Big Data, Internet of Things, and other emerging technologies for governmental organizations and private sectors. The purpose of this system was to aggregate data and integrate actors, such as Patients, Hospitals, Physicians, and Suppliers for decision making processes related to crises management involving events of health systems, such as epidemics, that needs to manage data and information. Differently from other existing products from Universities, Research Centers, Governmental Agencies, Public and/or Private companies, this product was developed and tested in just 17 academic weeks, applying the Scrum agile method and its best practices available in the market. This experience was stored in a Google site and implemented as a Proof of Concept (PoC). It represents just one example of how to address the old problems of teaching, learning, and developing complex intelligent academic computer projects to solve health system problems, by collaboratively using the Scrum agile method with Python or Java, Spark, NoSQL databases, Kafka, and other technologies. The major contribution of this paper is the use of agile testing to verify and validate an academic health system case study. © 2018, Springer International Publishing AG, part of Springer Nature.","Agile method; Agile testing; Big Data; Health system; Internet of Things (IoT); Predictive models; Problem-Based Learning (PBL)","Agile manufacturing systems; Big data; Decision making; Engineering education; Internet of things; Medical computing; Problem solving; Students; Teaching; Agile methods; Agile testing; Health systems; Internet of Things (IOT); Predictive models; Problem based learning; Information management","da Silva, D.A.; Computer Science Department, Brazil; email: das.america@gmail.com","Latifi S.","Springer Verlag",21945357,9783319770277,,,"English","Adv. Intell. Sys. Comput.",Conference Paper,"Final","",Scopus,2-s2.0-85045851932
"Ponsard C., Touzani M., Majchrowski A.","14523393200;57190396418;56229537900;","How to conduct big data projects: Methods overview and industrial feedback [Synthèse des méthodes de conduite de projets big data et des retours collectés lors de pilotes industriels]",2018,"Ingenierie des Systemes d'Information","23","1",,"9","33",,8,"10.3166/ISI.23.1.9-33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056081990&doi=10.3166%2fISI.23.1.9-33&partnerID=40&md5=9b617b4f66290dd4665cb584f60081cf","CETIC - Centre de recherche, Gosselies, Belgium; Docteur en Informatique, Toulouse, France","Ponsard, C., CETIC - Centre de recherche, Gosselies, Belgium; Touzani, M., Docteur en Informatique, Toulouse, France; Majchrowski, A., CETIC - Centre de recherche, Gosselies, Belgium","Companies are increasingly faced with the challenge of handling increasing and even massive amounts of digital data. Although Big Data technical solutions are available, many companies are struggling to deploy them because of a lack of maturity related to their management. This paper aims at improving guidance in this area based on a series of methodological brick documented in the literature from data mining projects to nowadays. It is complemented by lessons learned from pilots conducted in four key areas (IT, health, space, food industry). They give a concrete vision of how to implement the requirements gathering and data understanding steps with a focus on the identification of value, the definition of a relevant strategy and an agile follow-up to also manage the rise in maturity. c 2018 Lavoisier","Adoption process; Agile Methods; Big Data; Case study.; Projet management","Data mining; Adoption process; Agile methods; Area-based; Data understanding; Digital datas; Food industries; Requirements gathering; Technical solutions; Big data",,,"Lavoisier",16331311,,,,"English","Ing. Syst. Inf.",Article,"Final","",Scopus,2-s2.0-85056081990
"Schröer C.","57220898498;","Towards microservice identification approaches for architecting data science workflows",2021,"Procedia Computer Science","181",,,"519","525",,2,"10.1016/j.procs.2021.01.198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105650172&doi=10.1016%2fj.procs.2021.01.198&partnerID=40&md5=9fe37879dd29efe88c6e8cbed6e5f4d6","Volkswagen Aktiengesellschaft, Berliner Ring 2, Wolfsburg, 38440, Germany; University of Oldenburg, Ammerländer Heerstr. 114-118, Oldenburg, 26129, Germany","Schröer, C., Volkswagen Aktiengesellschaft, Berliner Ring 2, Wolfsburg, 38440, Germany, University of Oldenburg, Ammerländer Heerstr. 114-118, Oldenburg, 26129, Germany","In order to support fast development cycles and deploying software components in productive environments, there are three crucial trends in data science. These are agile process models, development of many technologies and increasing usage of cloud platforms. Therefore, effective architectures are needed to support this trend in data science context. This paper explores and evaluates first approaches for, why and how microservice architecture style can support fast development cycles for data science workflows. Microservices are becoming a popular architectural style for designing modern applications due to several advantages like scalability, reliability and maintainability. First, this paper points out the research gap on why microservices could be a suitable way to design data science workflows. Second, it defines relevant research questions for future research that addresses challenges of the microservice architectural style in the data science context. An essential prerequisite for this architecture style is to identify the “right context” of a microservice for data science workflows. © 2021 The Authors. Published by Elsevier B.V.","Data science workflows; Microservice; Microservice identification; Software architecture","Architecture; Data Science; Architectural style; Architecture styles; Data science workflow; Development cycle; Elsevier; Identification approach; Microservice; Microservice identification; Software-component; Work-flows; Software architecture","Schröer, C.; Volkswagen Aktiengesellschaft, Berliner Ring 2, Germany; email: christoph.schroeer@volkswagen.de","Cruz-Cunha M.M.Martinho R.Rijo R.Mateus-Coelho N.Domingos D.Peres E.","Elsevier B.V.",18770509,,,,"English","Procedia Comput. Sci.",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85105650172
"Tortrakul N., Pochan C., Southland S., Mala P., Pichaichanlert T., Tangsawanich Y.","57240031400;57205434575;35196951700;57240351000;55217720800;57239553500;","Drilling performance improvement through use of artificial intelligence in bit and bottom hole assembly selection in gulf of Thailand",2021,"Proceedings of the IADC/SPE Asia Pacific Drilling Technology Conference, APDT",,,,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113921783&partnerID=40&md5=b05d3d624cb61741279baf8cc78205d5","Chevron Thailand Exploration and Production, LTD; Chevron Upstream Drilling and Completions","Tortrakul, N., Chevron Thailand Exploration and Production, LTD; Pochan, C., Chevron Thailand Exploration and Production, LTD; Southland, S., Chevron Upstream Drilling and Completions; Mala, P., Chevron Thailand Exploration and Production, LTD; Pichaichanlert, T., Chevron Thailand Exploration and Production, LTD; Tangsawanich, Y., Chevron Thailand Exploration and Production, LTD","This paper describes a method of transforming legacy manual bit/BHA planning process into a digital solution to enhance drilling assembly selection efficiency and consistency. The solution presented improves overall capital stewardship thru an effective and semi-automated use of data to deliver high quality decisions and improve decision consistency across drilling applications and drive drilling performance. Data science and machine learning is applied to streamline the data preparation process and present to the user a statistically sound drilling assembly solution for the drilling environment input. A large +6000 well database is used to explore alternatives and rank potential solutions using performance and directional compatibility characteristics unique to the Gulf of Thailand. The digital project goal presented is two-fold. The first is to streamline all related data and decision processes in the office to improve work efficiency and information accessibility. The second goal is to improve field drilling performance by installation of a self-learning advisory tool. There is a requirement for multiple sub-processes to work in parallel. The population of data in the database and quality checks must be automated to handle hourly/daily data updates. A system for auto-loading drilling data from rigsite was created. A second system containing data science and machine learning was created to identify similar wells, rank their respective performance and directional compatibility to a future well of interest, and offer a statistically relevant solution recommendation. A benefit of such a system is a more efficient workflow with improved field drilling results while effectively capturing Chevron Thailand methods for many drilling engineers to use in the future. Adopting agile concept during development phase is one of the keys to success for this project. Additionally, utilization of digital transformation technology is a key enabler to handle big data, data science and data foundation. © 2021, IADC/SPE Asia Pacific Drilling Technology Conference",,,,,"Society of Petroleum Engineers (SPE)",,,,,"English","Proc IADC SPE Asia Pac Drill Technol APDT",Conference Paper,"Final","",Scopus,2-s2.0-85113921783
"Kitchens B., Dobolyi D., Li J., Abbasi A.","55504645400;55919019900;55507747800;8878294300;","Advanced Customer Analytics: Strategic Value Through Integration of Relationship-Oriented Big Data",2018,"Journal of Management Information Systems","35","2",,"540","574",,117,"10.1080/07421222.2018.1451957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047254729&doi=10.1080%2f07421222.2018.1451957&partnerID=40&md5=153e6cfaf5ece007a16e737b5f669192","University of Virginia, United States","Kitchens, B., University of Virginia, United States; Dobolyi, D., University of Virginia, United States; Li, J., University of Virginia, United States; Abbasi, A., University of Virginia, United States","As more firms adopt big data analytics to better understand their customers and differentiate their offerings from competitors, it becomes increasingly difficult to generate strategic value from isolated and unfocused ad hoc initiatives. To attain sustainable competitive advantage from big data, firms must achieve agility in combining rich data across the organization to deploy analytics that sense and respond to customers in a dynamic environment. A key challenge in achieving this agility lies in the identification, collection, and integration of data across functional silos both within and outside the organization. Because it is infeasible to systematically integrate all available data, managers need guidance in finding which data can provide valuable and actionable insights about customers. Leveraging relationship marketing theory, we develop a framework for identifying and evaluating various sources of big data in order to create a value-justified data infrastructure that enables focused and agile deployment of advanced customer analytics. Such analytics move beyond siloed transactional customer analytics approaches of the past and incorporate a variety of rich, relationship-oriented constructs to provide actionable and valuable insights. We develop a customized kernel-based learning method to take advantage of these rich constructs and instantiate the framework in a novel prototype system that accurately predicts a variety of customer behaviors in a challenging environment, demonstrating the framework’s ability to drive significant value. Copyright © Taylor & Francis Group, LLC.",,"Competition; Data integration; Digital storage; Sales; Sustainable development; Agile deployments; Big Data Analytics; Customer behavior; Data infrastructure; Dynamic environments; Kernel-based learning; Relationship marketing; Sustainable competitive advantages; Big data",,,"Routledge",07421222,,JMISE,,"English","J Manage Inf Syst",Article,"Final","",Scopus,2-s2.0-85047254729
