"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Building the federation of cloud service for big data","J. Shu; C. Liang; B. Wang; J. Xu","School of Management, Hefei University of Technology, Hefei, Anhui, China; School of Management, Hefei University of Technology, Hefei, Anhui, China; School of Management, Hefei University of Technology, Hefei, Anhui, China; School of Statistics and Applied Mathematics, Anhui University of Finance and Economics, Bengbu, Anhui, China","2018 IEEE 3rd International Conference on Big Data Analysis (ICBDA)","28 May 2018","2018","","","166","169","The demand for agile and flexible business application for big data has sparked interest in using cloud computing technology. Due to the limitation of provider's capability and the magnanimity of task quantity for big data, a single cloud provider may not offer enough service resources. However, a service federation among multiple providers can effectively solve this problem. This paper proposes the framework of cloud federation and introduces the basic processes of building service federation among multiple cloud providers. Moreover, we propose a multi-objectives task assigning model in the federation. A genetic algorithm based heuristic approach is developed as the optimization method. Eventually, some simulation experiments are conducted to illustrate the effectiveness of the model.","","978-1-5386-4794-3","10.1109/ICBDA.2018.8367670","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367670","cloud service;cloud federation;multiple objectives optimization;task assignment;genetic algorithm","Task analysis;Cloud computing;Reliability;Big Data;Organizations;Measurement","Big Data;cloud computing;genetic algorithms","cloud service;big data;agile business application;flexible business application;cloud computing technology;task quantity;single cloud provider;service resources;multiple providers;cloud federation;building service federation;multiple cloud providers;multiobjectives task assigning model","","2","","10","IEEE","28 May 2018","","","IEEE","IEEE Conferences"
"Improving Agile Development from Perspective of Design-Informing Model","Z. Zhang","University of Toronto, Toronto, Canada","2020 International Conference on Computing and Data Science (CDS)","9 Dec 2020","2020","","","23","26","Agile development is usually used to solve the problem of inflexibility which the other project management models, like the Waterfall model and the V model, may meet. However, conventional agile development still faces many problems under rapid iterations. Frequent iteration lacks efficient communication a large community, resources to share information, and quality of product. For better project management, this article describes a method, called the design-informing model (DIM), to improve the agile development. The design-informing model consists of four parts, user mental mode, developer mental model, system model, and environmental model. At the end of the paper, some discussions will be conducted to evaluate DIM in practice.","","978-1-7281-7106-7","10.1109/CDS49703.2020.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9275950","project management;agile development;software engineering;model optimization","Data science","iterative methods;knowledge based systems;software prototyping","environmental model;design-informing model;project management models;Waterfall model;V model;conventional agile development;developer mental model;system model","","","","15","IEEE","9 Dec 2020","","","IEEE","IEEE Conferences"
"What is Good Feedback in Big Data Projects for Cyberinfrastructure Diffusion in e-Science?","K. F. Kee; J. C. McCain","School of Communication, Chapman University, Orange, CA, USA; School of Communication, Chapman University, Orange, CA, USA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","2804","2812","This paper investigates the role of feedback in big data projects for cyberinfrastructure (CI) diffusion in e-science. For many of these projects, large-scale and heterogeneous datasets, multidisciplinary and dispersed experts, and advanced technologies are brought together to harness analytic insights. However, without effective CI and computational tools, the accuracy and meaningfulness of analytics results are compromised. In fact, without CI tools, raw data remain raw with hidden insights, as data analytics cannot be executed at all. In order to improve such tools for meaningful results, we argue to conceptualize the communication mechanism of `feedback' in agile software development, with the goal of producing CI tools that are responsive to users. Based on a grounded analysis of interview data, we concluded that feedback helps developers in big data projects understand users' needs, makes tools user-friendly, prevents emergencies, and is better for developers than no feedback. Furthermore, good feedback is often structured, specific, actionable, timely, generalizable, and delivered in a tactful way. Despite the limitation of the findings being exploratory and yet to be evaluated experimentally, we argued that they still can motivate developers to be proactive seekers of feedback for their tools, productively guide developers' communication with users, and ultimately promote further adoption and diffusion of CI tools in e-science.","","978-1-5386-5035-6","10.1109/BigData.2018.8622573","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622573","feedback;agile software development;e-science;cyberinfrastructure;technology adoption;diffusion of innovations","Big Data;Tools;Receivers;Agile software development;Standards organizations;Organizations;Feedback communications","Big Data;data analysis;decision making;natural sciences computing","good feedback;big data projects;cyberinfrastructure diffusion;computational tools;CI tools;raw data;data analytics;interview data;e-scienc;grounded analysis","","","","28","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"A Framework to Data Delivery Security for Big Data Annotation Delivery System","Y. Yang; H. He; D. Wang; Z. Ding","Information School, Beijing Institute of Graphic Communication, Beijing, China; Datatang (Beijing) Technology Company, Limited, Beijing, China; Datatang (Beijing) Technology Company, Limited, Beijing, China; Information School, Beijing Institute of Graphic Communication, Beijing, China","2018 IEEE 15th International Conference on Mobile Ad Hoc and Sensor Systems (MASS)","9 Dec 2018","2018","","","532","536","Big data annotation plays an important role in Artificial Intelligence model training. The proliferation of data annotation tasks has brought the issue of security of the big data delivery. This work identifies the security framework associated with encryption and compression procedures that support data delivery safety. In this paper, we propose an agile framework that caters to various types of data under RESTful web services. All the procedures are automatically operated by the server without human intervention. This work assists the company delivers the tagged data products to users with a high-security level avoiding the risk of information disclosure.","2155-6814","978-1-5386-5580-1","10.1109/MASS.2018.00082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8567604","Big data;compression;encryption;lightweight framework;data delivery","Encryption;Servers;Task analysis;Image coding;Companies;Big Data","Big Data;cryptography;data compression;data handling;Web services","data delivery security;delivery system;big data annotation;data annotation tasks;big data delivery;security framework;encryption;compression procedures;data delivery safety;agile framework;tagged data products;high-security level;artificial intelligence model training;RESTful web services","","1","","7","IEEE","9 Dec 2018","","","IEEE","IEEE Conferences"
"Designing Knowledge Management System with Big Data for Hospital Inpatient Services : (Case Study at Islamic Hospital XYZ Pekanbaru)","T. R. Perdana; S. Mujiatun; S. Sfenrianto; E. R. Kaburuan","Information System Management, Bina Nusantara University, Jakarta, Indonesia; Information System Management, Bina Nusantara University, Jakarta, Indonesia; Information System Management, Bina Nusantara University, Jakarta, Indonesia; Information System Management, Bina Nusantara University, Jakarta, Indonesia","2019 International Conference on Information and Communications Technology (ICOIACT)","23 Dec 2019","2019","","","851","856","The quality of health services is an important indicator in the health business and industry, especially for the XYZ ISLAMIC HOSPITAL in Pekanbaru. The need for performance improvements that can directly improve the quality of inpatient health services is a major problem. The role of doctors and nurses' knowledge becomes a benchmark in determining the performance and quality of services, in this case the Knowledge Management System (KMS) can be a solution in supporting the knowledge management process. However, the growth of innovation in knowledge management is also needed in practice. So Big Data as a large data processing technology and various types of data will be a supporter in the process of increasing and accelerating the growth of knowledge of doctors and nurses at the XYZ ISLAMIC HOSPITAL by providing relevant information as needed. Then it is necessary to design a KMS that uses Big data as one of the enablers in the process of creating knowledge for doctors and nurses and then can be stored and shared. This design is done by using the Knowledge Management System Agile Implementation Methodology (KMSAIM) which prioritizes the initiation process in each problem domain so that each component has the right and relevant solutions. The KMS design results are in the form of site-based applications that have file sharing features, discussion forums for sharing medical experiences and there are search features needed by doctors and nurses for inpatient services at XYZ ISLAMIC HOSPITAL.","","978-1-7281-1655-6","10.1109/ICOIACT46704.2019.8938469","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8938469","Inpatient Medical Service;Knowledge Management;Knowledge Management System;Big Data.","Hospitals;Big Data;Knowledge management;Technological innovation","Big Data;health care;hospitals;knowledge management;medical information systems;patient care;peer-to-peer computing;software prototyping","nurses;XYZ ISLAMIC HOSPITAL;designing knowledge management system;big data;hospital inpatient services;Islamic Hospital XYZ Pekanbaru;health business;performance improvements;inpatient health services;doctors;knowledge management process;data processing technology;initiation process;KMS design results;knowledge management system agile implementation methodology;KMSAIM","","2","","10","IEEE","23 Dec 2019","","","IEEE","IEEE Conferences"
"On the Appropriate Methodologies for Data Science Projects","A. Karimi Dastgerdi; T. Javdani Gandomani","Faculty of Business and Economics, Leuphana University of Luneburg, Luneburg, Germany; Department of Computer Science, Shahrekord University, Shahrekord, Iran","2021 International Conference on Information Technology (ICIT)","26 Jul 2021","2021","","","667","673","Data science is an emerging discipline with a particular research focus on improving the available techniques for data analysis. While the number of data science projects is growing, unfortunately, there is a slight consideration of how a team performs a data science project. Although the existence of a repeatable well-defined process could deal with many challenges of data science projects, researches conducted in recent years indicate a convergence of the results to agile methodologies as the appropriate ones for the projects. In this paper, first, the tasks and roles of individuals in data science projects are addressed; then, some research conducted for the methodologies used in the projects are studied. The study shows that agile methodologies could resolve many issues of data science projects by increasing the communications and cooperation of the team members and investors.","","978-1-6654-2870-5","10.1109/ICIT52682.2021.9491712","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9491712","agile software methodologies;data science;big data;business intelligence","Training;Software algorithms;Project management;Data science;Predictive models;Tools;Software","data analysis;project management;team working","data science project;data analysis;agile methodologies","","1","","31","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Big Data Analytics on Cyber Attack Graphs for Prioritizing Agile Security Requirements","E. Hadar; A. Hassanzadeh","Accenture Labs, Accenture; Accenture Labs, Accenture","2019 IEEE 27th International Requirements Engineering Conference (RE)","5 Dec 2019","2019","","","330","339","In enterprise environments, the amount of managed assets and vulnerabilities that can be exploited is staggering. Hackers' lateral movements between such assets generate a complex big data graph, that contains potential hacking paths. In this vision paper, we enumerate risk-reduction security requirements in large scale environments, then present the Agile Security methodology and technologies for detection, modeling, and constant prioritization of security requirements, agile style. Agile Security models different types of security requirements into the context of an attack graph, containing business process targets and critical assets identification, configuration items, and possible impacts of cyber-attacks. By simulating and analyzing virtual adversary attack paths toward cardinal assets, Agile Security examines the business impact on business processes and prioritizes surgical requirements. Thus, handling these requirements backlog that are constantly evaluated as an outcome of employing Agile Security, gradually increases system hardening, reduces business risks and informs the IT service desk or Security Operation Center what remediation action to perform next. Once remediated, Agile Security constantly recomputes residual risk, assessing risk increase by threat intelligence or infrastructure changes versus defender's remediation actions in order to drive overall attack surface reduction.","2332-6441","978-1-7281-3912-8","10.1109/RE.2019.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8920695","Security Requirements;Requirements Prioritization;Agile Security;Attack Graph;Graph Analytics;Attack Path;Remediation Requirements;Attack Surface;Cyber Digital Twin","Security;Organizations;Risk management;Process control;Scalability;Standards organizations","Big Data;business data processing;computer crime;data analysis;graph theory;risk analysis;risk management;software prototyping","requirements backlog;business risks;Security Operation Center;attack surface reduction;big data analytics;cyber attack graphs;prioritizing Agile Security requirements;managed assets;complex big data graph;potential hacking paths;risk-reduction security requirements;constant prioritization;agile style;Agile Security models different types;attack graph;business process targets;critical assets identification;cyber-attacks;virtual adversary attack paths;cardinal assets;business processes;prioritizes surgical requirements","","29","","18","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"Agility Measurement of Agile Supply Chain Network Based on Complex Network Theory","Y. Yao; L. Li","Anhui Finance & Trade Vocational College, Hefei, China; School of Management Hefei University of Technology, Anhui Finance & Trade Vocational College, Hefei, China","2019 International Conference on Intelligent Computing, Automation and Systems (ICICAS)","2 Apr 2020","2019","","","757","762","With the development of information technology, the supply chain has developed into a new stage of intelligent supply chain which is deeply integrated with the Internet and the Internet of Objects. In order to give full play to the characteristics of innovation, collaboration, win-win, openness and greenness in supply chain, and to build a smart supply chain system with big data support, network sharing and intelligent collaboration, the agility measurement of supply chain has become an urgent and important topic. This paper presents an agile metric based on complex network theory for agile supply chain network. Firstly, the mathematical expression of agile supply chain network and its agility measurement method are defined, and the constraints of complex network theory are also defined. Secondly, to facilitate the calculation of agility metrics, complex network theory is introduced into agile supply chain network. In addition, a large number of experiments have been designed and implemented to verify the accuracy of the proposed complex network theory in agile supply chain network measurement. At the same time, the agility of the supply chain network is measured, and its changing rules and optimization methods are summarized. The experimental results show that the proposed complex network theory can accurately measure the agility of agile supply chain network. The purpose of this paper is to provide a method to turn agile supply chain system into intelligent information system through mathematical modeling.","","978-1-7281-6106-8","10.1109/ICICAS48597.2019.00163","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9051272","complex network theory, agile supply chain network, estimated value, agility measurement, intelligent information system","","Big Data;complex networks;information technology;Internet;mathematical analysis;network theory (graphs);optimisation;production engineering computing;supply chain management;supply chains","complex network theory;agile supply chain network measurement;information technology;big data support;network sharing;mathematical analysis;optimization techniques;internet of objects","","","","12","IEEE","2 Apr 2020","","","IEEE","IEEE Conferences"
"Improving the Quality of Requirements Engineering Process in Software Development with Agile Methods: a Case Study Telemedicine Startup XYZ","A. S. Wibawa; E. K. Budiardjo; K. Mahatma","Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia","2021 International Conference Advancement in Data Science, E-learning and Information Systems (ICADEIS)","9 Feb 2022","2021","","","1","5","XYZ is a telemedicine startup company that uses Scrum, an Agile methodology, as a software development method. The company uses Scrum to deliver good products and services to customers on time, even with limited requirements. However, the company faced problems in product development, so the company could not release the product on time. Based on interviews with internal experts, the company has issues determining the priority scale of requirements and change requirement management, where both problems are part of requirement engineering. This study discusses the problems of the company XYZ regarding the requirement engineering process, especially the problem of determining the priority scale of requirements and change requirement management. This research uses the CMMI-Dev 1.3 specific process area to assess the requirement engineering process in the company using sub-specific practices in the Requirement Development (RD) and Requirement Management (REQM) process areas. Researchers conducted interviews with product managers to appraise sub-specific RD and REQM practices with current activities in the company. The results of this study are recommendations to improve the quality of the requirement engineering process by using Objective Key Result (OKR) and Action Priority Matrix (APM).","","978-1-6654-3709-7","10.1109/ICADEIS52521.2021.9701962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9701962","Action Priority Matrix;Agile;CMMI-Dev 1.3;Objective Key Result;Requirement Engineering;Scrum","Electronic learning;Requirements management;Telemedicine;Companies;Software;Product development;Requirements engineering","Capability Maturity Model;DP industry;formal specification;product development;project management;software development management;software engineering;software houses;software prototyping;software quality;telemedicine","requirements engineering process;case study telemedicine startup XYZ;software development method;product development;change requirement management;requirement engineering process","","","","14","IEEE","9 Feb 2022","","","IEEE","IEEE Conferences"
"Smart Water Quality Analysis using IoT and Big Data Analytics: A Review","E. E. -D. Hemdan; Y. M. Essa; A. El-Sayed; M. Shouman; A. N. Moustafa","Computer Science and Engineering Department. Faculty of Electronic Engineering, Menofia University, Menouf, Egypt; Principle Data and Knowledge. Bayer, Berlin, Germany; Computer Science and Engineering Department. Faculty of Electronic Engineering, Menofia University, Menouf, Egypt; Computer Science and Engineering Department. Faculty of Electronic Engineering, Menofia University, Menouf, Egypt; Computer Science and Engineering Department. Faculty of Electronic Engineering, Menofia University, Menouf, Egypt","2021 International Conference on Electronic Engineering (ICEEM)","15 Jul 2021","2021","","","1","5","In recent times, water quality monitoring, observing, and testing have become a significant research study with the advancement on the Internet of Things, and Big Data analytics research ideas. The relationship between water demand and supply is very crucial for every country and is likewise a complex challenge to satisfy this requirement around the world. Water is compulsory for human survival being on the earth. Therefore, for survival, the preservation and taking care of the existing water resource are also equally substantial. Moreover, for a healthier society, access to clean and safe water resources is also imperative. To recognize the water quality effects and provide an automated water quality mentoring and a testing system can support in guaranteeing the safety of the water. This paper presents a study on water quality analysis using IoT and Big Data analytics. This can help in developing an agile environment that can handle the massive flow of water big data generated by the smart sensors spread everywhere around us.","","978-1-6654-1842-3","10.1109/ICEEM52022.2021.9480628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9480628","ater Quality;Internet of Things;Cloud Computing;and Big Data Analytics","Technological innovation;Water quality;Big Data;Safety;Mentoring;Internet of Things;Water resources","Big Data;data analysis;environmental science computing;intelligent sensors;Internet of Things;public domain software;water quality;water resources;water supply","smart water quality analysis;IoT;water quality monitoring;significant research study;Internet of Things;Big Data analytics research ideas;water demand;complex challenge;human survival;taking care;existing water resource;clean water resources;safe water resources;water quality effects;automated water quality mentoring;testing system;water big data","","2","","17","IEEE","15 Jul 2021","","","IEEE","IEEE Conferences"
"Construction of a Social Security Monitoring and Early Warning Platform Driven by Big Data","J. Yu; J. Guo; L. Globa; S. Li; M. Zhang; X. Li; J. Liu","Qilu University of Technology, Shandong Academic of Sciences, Jinan, China; Qilu University of Technology, Shandong Academic of Sciences, Jinan, China; Institute of Telecommunication Systems of National Technical University of Ukraine, Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, Ukraine; Qilu University of Technology, Shandong Academic of Sciences, Jinan, China; Qilu University of Technology, Shandong Academic of Sciences, Jinan, China; Qilu University of Technology, Shandong Academic of Sciences, Jinan, China; Shandong Normal University, Jinan, China","2021 IEEE 4th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)","19 Jul 2021","2021","4","","370","373","This article focuses on the existing sensitive information early warning mechanism and auxiliary decision-making is not sound, the emergency command and control is not agile, the application system business is solidified, and the existing monitoring and early warning service mode deals with multi-source, heterogeneous terrorism-related data, data utilization inefficiency and limited data processing service functions, the inability to achieve intelligent control of the process, and the inability to achieve precise monitoring, as well as the multi-dimensional and in-depth intelligent analysis of sensitive data. Research on distributed real-time transmission and distribution of big data based on multi-source and multi-channel adaptation, multi-source, heterogeneous big data distributed online real-time processing based on S4/Strom and distributed memory computing, position-based social security event monitoring, and semi-supervised system self-evolution and other key technologies, proposed to build a big data-driven social security monitoring and early warning platform system.","2693-2776","978-1-7281-8535-4","10.1109/IMCEC51613.2021.9482215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9482215","data-driven;early warning platform;big data;data mining","Systematics;Government;Semantics;Process control;Big Data;Real-time systems;Natural language processing","Big Data;computerised monitoring;decision making;intelligent control;terrorism","warning platform driven;existing sensitive information;auxiliary decision-making;emergency command;application system business;existing monitoring;early warning service mode;multisource;heterogeneous terrorism-related data;data utilization inefficiency;limited data processing service functions;intelligent control;precise monitoring;in-depth intelligent analysis;sensitive data;distributed real-time transmission;multichannel adaptation;heterogeneous big data;real-time processing;distributed memory computing;position-based social security event monitoring;semisupervised system self-evolution;big data-driven social security monitoring;early warning platform system","","1","","8","IEEE","19 Jul 2021","","","IEEE","IEEE Conferences"
"IoT Agile Framework Enhancement","B. Gabr; M. A. Azer","Wireless intelligent networks centre (WINC), Nile University, Egypt; National Telecommunication Institute, Nile University, Egypt","2018 1st International Conference on Computer Applications & Information Security (ICCAIS)","23 Aug 2018","2018","","","1","4","Internet of Things (IoT) is considered as a trend nowadays. Devices connected to the internet interact with surrounding; this poses strong challenges in handling big data with a certain level of security. In this paper IoT devices will be divided in to two categories high vulnerability devices and low vulnerability devices. The classification depends on the ease of attacks. In order to ensure the security of IoT devices, an agile approach is used to secure high vulnerability devices as first step and then low vulnerability devices by applying encryption algorithms.","","978-1-5386-4427-0","10.1109/CAIS.2018.8441993","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8441993","Internet of Things;Agile approach;Encryption algorithms","Encryption;Internet of Things;Cloud computing;Software algorithms","Big Data;cryptography;Internet of Things","IoT agile framework enhancement;low vulnerability devices;agile approach;encryption algorithms;high vulnerability devices;Internet interact;IoT devices;Big Data","","1","","11","IEEE","23 Aug 2018","","","IEEE","IEEE Conferences"
"Talent management in agile software development: The state of the art","T. J. Gandomani; A. Mashmool; M. Dashti; S. Khosravi; M. N. Sarpiri; M. Radnejad; M. Afshari; S. Mansouri","Dept. of Computer Science, Shahrekord University, Shahrekord, Iran; Dept. of Computer Engineering, University of Birjand, Birjand, Iran; Data Science Research Center, Shahrekord University, shahrekord, Iran; Dept. of Computer Engineering, University of Birjand, Birjand, Iran; Dept. of Computer Engineering, Isfahan Branch, Islamic Azad University, Isfahan, Iran; Dept. of Computer Engineering, Isfahan Branch, Islamic Azad University, Isfahan, Iran; Data Science Research Center, Shahrekord University, shahrekord, Iran; Dept. of Computer Engineering, Dolatabad Branch, Islamic Azad University, Isfahan, Iran","2021 3rd East Indonesia Conference on Computer and Information Technology (EIConCIT)","17 May 2021","2021","","","156","160","With increasing competition in the software market, software companies are using new management strategies to increase their competitiveness. In recent years, with the prevalence of agile methodologies in software development, paying attention to human resources, and selecting and managing talented human resources have become inevitable. This should be achieved by adopting appropriate talent management processes. However, in software engineering, talent management has not yet been seriously considered. Due to the critical role of agile methodologies in human resources, and the authority and freedom of individuals in agile teams, the benefit of talent management in these methodologies is vital. As a starting point, this article tries to provide a concise overview of talent management in agile software development and address the ambiguities and research gaps facing software researchers in this regard. The initial results of this study show that several ambiguities such as appropriate models of talent management applicable in agile methodologies, how to use them, effective factors in talent assessment, and the relationship between talent management and the quality of teamwork are some of the most noticeable research gaps in this area.","","978-1-6654-0514-0","10.1109/EIConCIT50028.2021.9431902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9431902","Agile software development;talent management;human capital;agile team management;research trends","Agile software development;Psychology;Companies;Market research;Software;Teamwork;Information technology","DP industry;human resource management;organisational aspects;software development management;software prototyping","agile software development;software market;software companies;software engineering;software researchers;talented human resource management","","","","48","IEEE","17 May 2021","","","IEEE","IEEE Conferences"
"Customizing and Deploying Data Science Roadmapping: A Case Study of an Oil and Gas Company","K. Kayabay; M. O. Gökalp; E. Gökalp; S. M. Alagöz; P. E. Eren; A. Koçyiğit","Department TÜBİTAK ULAKBİM, Data Informatics Middle East Technical University Network Technologies, Ankara, Türkiye; Data Analytics Center TÜPRAŞ, Ankara, Türkiye; Computer Engineering Department, Hacettepe University, Ankara, Türkiye; Data Analytics Center TÜPRAŞ, İstanbul, Türkiye; Information Systems Middle East Technical University, Ankara, Türkiye; Information Systems Middle East Technical University, Ankara, Türkiye","2022 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)","28 Mar 2023","2022","","","1","6","Many organizations still face challenges leveraging data science in production and need strategic planning for organization-wide data science efforts and assets. Data Science Roadmapping (DSR) customizes the widely used Technology Roadmapping to facilitate such planning in organizations, aligning market, business, data, technology, and organization perspectives. This paper employs the action research method to customize and apply DSR in an oil and gas company. The approach mostly met the expectations regarding objectives and outcomes, the first step toward generalizability. The case study provides researchers and practitioners insights into roadmapping customization, remote and agile roadmap development process, and strategic planning for technology adoption in a large organization. Lastly, we identify the future research directions using the recent roadmapping literature.","2159-5119","978-1-6654-7027-8","10.1109/ICTMOD55867.2022.10082858","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10082858","technology roadmapping;data science;big data;high-performance computing;data strategy","Technology management;Oils;Companies;Production;Data science;Strategic planning;Faces","gas industry;organisational aspects;petroleum industry;production engineering computing;research and development;strategic planning","action research method;agile roadmap development process;Data Science Roadmapping;DSR;oil and gas company;organization perspectives;organization-wide data science efforts;remote roadmap development process;roadmapping customization;strategic planning;technology adoption","","","","36","IEEE","28 Mar 2023","","","IEEE","IEEE Conferences"
"ENIAD: A Reconfigurable Near-data Processing Architecture for Web-Scale AI-enriched Big Data Service","J. Zhang; J. Li","Department of Electrical and Systems Engineering, University of Pennsylvania, Hot Chips 33, August 22-24,2021; Department of Electrical and Systems Engineering, University of Pennsylvania, Hot Chips 33, August 22-24,2021","2021 IEEE Hot Chips 33 Symposium (HCS)","20 Oct 2021","2021","","","1","8","To meet the surging demands required by AI-enriched Big Data services, cloud vendors are turning toward domain specific accelerators for improved efficiency, scalability and performance. ENIAD, the first end-to-end infrastructure for AI-enriched Big Data serving in real time, accelerates both deep neural network inferencing and billion-scale indexing at the data-center scale. Exploiting near- data computation, reconfigurable computing and rapid/agile hardware deployment flow, ENIAD serves state-of-the-art, online built indexing service with high efficiency at low batch sizes. A high-performance, index (data)-adaptable FPGA soft processor is at the heart of the system and able to serve 10x larger index size with 14x lower latency compared to state-of-the-art CPU and GPU architectures.","2573-2048","978-1-6654-1397-8","10.1109/HCS52781.2021.9567229","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9567229","","Heart;Scalability;Graphics processing units;Computer architecture;Big Data;Turning;Real-time systems","AI chips;Big Data;deep learning (artificial intelligence);field programmable gate arrays;inference mechanisms","ENIAD;indexing service;index-adaptable FPGA soft processor;reconfigurable near-data processing architecture;web-scale AI-enriched Big Data service;AI-enriched Big Data services;domain specific accelerators;end-to-end infrastructure;AI-enriched Big Data serving;deep neural network inferencing;billion-scale indexing;data-center scale;data computation;reconfigurable computing","","","","0","IEEE","20 Oct 2021","","","IEEE","IEEE Conferences"
"Design and Research of Insurance Survey Claims System Based on Big Data Analysis","J. Wu; J. Wang; Y. Liu","Dalian Neusoft University of Information, Dalian, China; Dalian Neusoft University of Information, Dalian, China; Dalian Neusoft University of Information, Dalian, China","2019 International Conference on Virtual Reality and Intelligent Systems (ICVRIS)","5 Dec 2019","2019","","","211","214","In order to overcome the cumbersome procedures of insurance investigation and claim settlement and the difficulty of precise promotion of insurance services for specific customers, this paper proposes an insurance investigation and claim system based on big data analysis. This method is developed on the basis of agile model. It has case information management, investigation information management, claim settlement management, intelligent insurance recommendation, etc. Intelligent customer service and other core functions, relying on Web, mobile applications and social networks for data collection, filtering and real-time analysis of the collected large data information, using Hadoop framework to convert structured data into semi-structured or unstructured data, storage of data information, through advanced analysis, prediction model Type and visual query, mining and analyzing the extracted data, and finally displaying the results after analysis. The experimental results show that the insurance survey and claim system completes the business processing of one-click report, survey photos upload, efficient claim settlement and insurance recommendation, speeds up the claim processing speed, and realizes the personalized service and precise marketing of customer insurance.","","978-1-7281-5050-5","10.1109/ICVRIS.2019.00059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8920755","Insurance;Claim Settlement;Intelligence","Insurance;Companies;Customer services;Big Data;Data models;Data analysis","Big Data;customer services;data analysis;data mining;insurance data processing;Internet;social networking (online)","insurance survey claims system;big data analysis;cumbersome procedures;insurance investigation;precise promotion;insurance services;specific customers;claim system;agile model;case information management;investigation information management;claim settlement management;intelligent insurance recommendation;intelligent customer service;real-time analysis;data information;structured data;unstructured data;advanced analysis;prediction model;visual query;efficient claim settlement;personalized service;precise marketing;customer insurance","","3","","5","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"Work-in-progress: Data Science Challenge-X: self-directed, competence-based, project-based learning","F. Benites; M. Schlatter; M. Messerli; R. Custer","School of Engineering, FHNW, Switzerland; School of Engineering, FHNW, Switzerland; School of Engineering, FHNW, Switzerland; School of Engineering, FHNW, Switzerland","2022 IEEE Global Engineering Education Conference (EDUCON)","11 May 2022","2022","","","2033","2036","We discuss in this paper the implementation of a project-based self-direct learning competency-based project module in our Bachelor Data Science programme. The goal of the course is to integrate in a later stage all project modules, which are now divided in two: one with and one without external industry partners, treating different aspects of data science with a pre-defined goal and clear objectives for the project. Switching for a competency-based learner-based paradigm with agile aspects and intrinsic focus, we define the core project goals as secondary and develop core data science competences which are acquired by the students and reflected in a learning journal.","2165-9567","978-1-6654-4434-7","10.1109/EDUCON52537.2022.9766710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9766710","project-based learning;intrinsic motivation;self-directed learning","Industries;Conferences;Switches;Data science;Engineering education","computer aided instruction;data analysis","data science challenge;competence-based learning;self-direct learning competency-based project module;Bachelor Data Science programme;competency-based learner-based paradigm;core project goals;core data science competences;learning journal;project-based learning","","","","9","IEEE","11 May 2022","","","IEEE","IEEE Conferences"
