entry,database,title,abstract,author_keywords,authors,authors_affiliations,publication_year,source_title,publisher,url,doi,query_date,processing_date,sanitized_title,duplicated_exclusion_flag,duplicated_validation_date,metadata_exclusion_flag,metadata_validation_date,fulltext_exclusion_flag,fulltext_validation_date
11,acm,A Cost-Efficient Container Orchestration Strategy in Kubernetes-Based Cloud Computing Infrastructures with Heterogeneous Resources,"Containers, as a lightweight application virtualization technology, have recently gained immense popularity in mainstream cluster management systems like Google Borg and Kubernetes. Prevalently adopted by these systems for task deployments of diverse workloads such as big data, web services, and IoT, they support agile application deployment, environmental consistency, OS distribution portability, application-centric management, and resource isolation. Although most of these systems are mature with advanced features, their optimization strategies are still tailored to the assumption of a static cluster. Elastic compute resources would enable heterogeneous resource management strategies in response to the dynamic business volume for various types of workloads. Hence, we propose a heterogeneous task allocation strategy for cost-efficient container orchestration through resource utilization optimization and elastic instance pricing with three main features. The first one is to support heterogeneous job configurations to optimize the initial placement of containers into existing resources by task packing. The second one is cluster size adjustment to meet the changing workload through autoscaling algorithms. The third one is a rescheduling mechanism to shut down underutilized VM instances for cost saving and reallocate the relevant jobs without losing task progress. We evaluate our approach in terms of cost and performance on the Australian National Cloud Infrastructure (Nectar). Our experiments demonstrate that the proposed strategy could reduce the overall cost by 23% to 32% for different types of cloud workload patterns when compared to the default Kubernetes framework.","cost efficiency, resource heterogeneity, Cluster management, container orchestration","Zhong Z,Buyya R",,2020.0,ACM Trans. Internet Technol.,Association for Computing Machinery,,10.1145/3378447,20230520-160000,20230521-044735,"['a', 'cost-efficient', 'container', 'orchestration', 'strategy', 'in', 'kubernetes-based', 'cloud', 'computing', 'infrastructures', 'with', 'heterogeneous', 'resources']",False,20230521-205332,,,,
12,acm,Software Engineering for Machine Learning: A Case Study,"Recent advances in machine learning have stimulated widespread interest within the Information Technology sector on integrating AI capabilities into software and services. This goal has forced organizations to evolve their development processes. We report on a study that we conducted on observing software teams at Microsoft as they develop AI-based applications. We consider a nine-stage workflow process informed by prior experiences developing AI applications (e.g., search and NLP) and data science tools (e.g. application diagnostics and bug reporting). We found that various Microsoft teams have united this workflow into preexisting, well-evolved, Agile-like software engineering processes, providing insights about several essential engineering challenges that organizations may face in creating large-scale AI solutions for the marketplace. We collected some best practices from Microsoft teams to address these challenges. In addition, we have identified three aspects of the AI domain that make it fundamentally different from prior software application domains: 1) discovering, managing, and versioning the data needed for machine learning applications is much more complex and difficult than other types of software engineering, 2) model customization and model reuse require very different skills than are typically found in software teams, and 3) AI components are more difficult to handle as distinct modules than traditional software components --- models may be ""entangled"" in complex ways and experience non-monotonic error behavior. We believe that the lessons learned by Microsoft teams will be valuable to other organizations.","data, AI, software engineering, process","Amershi S,Begel A,Bird C,DeLine R,Gall H,Kamar E,Nagappan N,Nushi B,Zimmermann T",,2019.0,Proceedings of the 41st International Conference on Software Engineering: Software Engineering in Practice,IEEE Press,,10.1109/ICSE-SEIP.2019.00042,20230520-160000,20230521-044735,"['software', 'engineering', 'for', 'machine', 'learning:', 'a', 'case', 'study']",False,20230521-205332,,,,
13,acm,Exploiting Page Table Locality for Agile TLB Prefetching,"Frequent Translation Lookaside Buffer (TLB) misses incur high performance and energy costs due to page walks required for fetching the corresponding address translations. Prefetching page table entries (PTEs) ahead of demand TLB accesses can mitigate the address translation performance bottleneck, but each prefetch requires traversing the page table, triggering additional accesses to the memory hierarchy. Therefore, TLB prefetching is a costly technique that may undermine performance when the prefetches are not accurate.In this paper we exploit the locality in the last level of the page table to reduce the cost and enhance the effectiveness of TLB prefetching by fetching cache-line adjacent PTEs ""for free"". We propose Sampling-Based Free TLB Prefetching (SBFP), a dynamic scheme that predicts the usefulness of these ""free"" PTEs and prefetches only the ones most likely to prevent TLB misses. We demonstrate that combining SBFP with novel and state-of-the-art TLB prefetchers significantly improves miss coverage and reduces most memory accesses due to page walks.Moreover, we propose Agile TLB Prefetcher (ATP), a novel composite TLB prefetcher particularly designed to maximize the benefits of SBFP. ATP efficiently combines three low-cost TLB prefetchers and disables TLB prefetching for those execution phases that do not benefit from it. Unlike state-of-the-art TLB prefetchers that correlate patterns with only one feature (e.g., strides, PC, distances), ATP correlates patterns with multiple features and dynamically enables the most appropriate TLB prefetcher per TLB miss.To alleviate the address translation performance bottleneck, we propose a unified solution that combines ATP and SBFP. Across an extensive set of industrial workloads provided by Qualcomm, ATP coupled with SBFP improves geometric speedup by 16.2%, and eliminates on average 37% of the memory references due to page walks. Considering the SPEC CPU 2006 and SPEC CPU 2017 benchmark suites, ATP with SBFP increases geometric speedup by 11.1%, and eliminates page walk memory references by 26%. Applied to big data workloads (GAP suite, XSBench), ATP with SBFP yields a geometric speedup of 11.8% while reducing page walk memory references by 5%. Over the best state-of-the-art TLB prefetcher for each benchmark suite, ATP with SBFP achieves speedups of 8.7%, 3.4%, and 4.2% for the Qualcomm, SPEC, and GAP+XSBench workloads, respectively.",,"Vavouliotis G,Alvarez L,Karakostas V,Nikas K,Koziris N,Jiménez DA,Casas M",,2021.0,Proceedings of the 48th Annual International Symposium on Computer Architecture,IEEE Press,,10.1109/ISCA52012.2021.00016,20230520-160000,20230521-044735,"['exploiting', 'page', 'table', 'locality', 'for', 'agile', 'tlb', 'prefetching']",False,20230521-205332,,,,
14,ieeex,Achieving Agile Big Data Science: The Evolution of a Team’s Agile Process Methodology,"While there has been a rapid increase in the use of data science and the related field of big data, there has been minimal discussion on how teams using these techniques should best plan, coordinate and communicate their activities. To help address this gap, this paper reports on a mixed method qualitative study exploring how a big data science team within a Fortune 500 organization used two different agile process methodologies. The study helps clarify the concept of agility within a big data science project, as well as the key process challenges teams encounter when executing a big data science project. Specifically, three key issues were identified: (a) the challenge in task duration estimation, (b) how to account for team members that might be pulled onto other tasks for short bursts and (c) coordination challenges across the different groups within the big data science team. Our findings help explain how different process methodologies might mitigate or exacerbate these challenges and supports previous research showing that big data science teams would benefit from an increased focus on their process methodology and that adopting an Agile Kanban methodology, which focuses on minimizing work-in-progress, could prove beneficial for many big data science teams.",Big Data Science;Agile;Process Methodology,J. S. Saltz; I. Shamshurin,"School of Information Studies Syracuse University, Syracuse, NY, USA; School of Information Studies Syracuse University, Syracuse, NY, USA",2019.0,2019 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005493,10.1109/BigData47090.2019.9005493,20230520-160000,20230521-044735,"['achieving', 'agile', 'big', 'data', 'science:', 'the', 'evolution', 'of', 'a', 'team’s', 'agile', 'process', 'methodology']",False,20230521-205332,,,,
15,ieeex,SKI: An Agile Framework for Data Science,"This paper explores data science project management by first noting the need for a new process management framework and then defines a process framework that effectively supports the needs of a data science team. The paper also reports on a pilot study of teams using the framework. The framework adheres to the lean Kanban philosophy but augments Kanban by providing a structured iteration process for teams to incrementally explore and learn via lean hypothesis testing. Specifically, the Structured Kanban Iteration (SKI) framework focuses on having teams define capability-based iterations (as opposed to Kanban-like no iterations or Scrumlike time-based sprints). Furthermore, unlike Kanban, the framework leverages Scrum best practices to define roles, meetings and artifacts. Thus, SKI implements the Kanban process, but with a more repeatable and structured approach.",Data Science;Big Data;Agile;Process Methodology,J. Saltz; A. Suthrland,Syracuse University; Scrum Inc.,2019.0,2019 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005591,10.1109/BigData47090.2019.9005591,20230520-160000,20230521-044735,"['ski:', 'an', 'agile', 'framework', 'for', 'data', 'science']",False,20230521-205332,,,,
16,ieeex,On the Application of SCRUM in Data Science Projects,"The emerging discipline of Data Science poses several challenges for teams conducting projects in the field as notably, the majority of Data Science teams fail to deliver the expected outcomes. To improve the results, researchers tried to adapt agile project methodologies like Scrum for Data Science projects. Scrum in particular is often implemented due its success in software engineering. However, the basic Scrum framework has proven itself to be too strict for Data Science, due to frequent unpredictabilities of Data Science tasks. Consequently, adaptions were made to traditional Scrum to make it more suitable for the new challenges. This article discusses further adaptations and suggests that Scrum in itself is usable in Data Science, however, additional adaptations of the core concepts need to be envisioned.",SCRUM;data science;project management,N. Kraut; F. Transchel,"Faculty of Business Studies, Harz University of Applied Sciences, Wernigerode, Germany; Faculty of Automation & Computer Science, Harz University of Applied Sciences, Wernigerode, Germany",2022.0,2022 7th International Conference on Big Data Analytics (ICBDA),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9760341,10.1109/ICBDA55095.2022.9760341,20230520-160000,20230521-044735,"['on', 'the', 'application', 'of', 'scrum', 'in', 'data', 'science', 'projects']",False,20230521-205332,,,,
17,ieeex,The Waterfall Model with Agile Scrum as the Hybrid Agile Model for the Software Engineering Team,"Hybrid agile is a software development model that combines the agile approach with a non-agile development strategy. A software engineering team chooses the hybrid agile to best fit the development process based on project needs; some projects require a plan-driven approach, and at the same time, agility is a must. However, among many agile methodologies and plan-driven development models, which methodologies or models adopted by a software engineering team lead to hybrid agile. This research aims to identify the software engineering team's approach and model that resulted in the emergence of a hybrid agile model. Data for this research were acquired through a qualitative study using interviews as the data collection instrument and thematic analysis is used to analyze the data and identify the theme. In the context of this paper, we focus on only one (1) theme, which is “models used in a software project”. According to the research findings, the agile Scrum and Waterfall models are the models that have been practised in software projects that have resulted in the hybrid agile model. In the near future, further research will be conducted to determine which process model is employed in certain software process phases of a software project.",Hybrid agile;Scrum;Waterfall model;Software engineering team,N. Yahya; S. S. Maidin,"Department of Computer Science, Kulliyyah of Information and Communication Technology, International Islamic University Malaysia (IIUM), Malaysia; Faculty of Data Science and Information Technology (FDSIT), INTI International University, Malaysia",2022.0,2022 10th International Conference on Cyber and IT Service Management (CITSM),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9936036,10.1109/CITSM56380.2022.9936036,20230520-160000,20230521-044735,"['the', 'waterfall', 'model', 'with', 'agile', 'scrum', 'as', 'the', 'hybrid', 'agile', 'model', 'for', 'the', 'software', 'engineering', 'team']",False,20230521-205332,,,,
18,ieeex,Identifying the most Common Frameworks Data Science Teams Use to Structure and Coordinate their Projects,"This paper presents the results of a study focused on exploring which framework, if any, teams use to execute data science projects. The study consisted of a survey of 109 industry professionals, as well as an evaluation of relevant framework terms searched at Google. Overall, CRISP-DM was the most commonly used framework, with Scrum and Kanban being the second and third most frequently used. We note that CRISP-DM is a life cycle framework, whereas Scrum and Kanban are team coordination frameworks. Hence, this research also notes the potential demand for a framework that integrates both life cycle and team coordination aspects of leading a data science project.",Data Science;Big Data;Process Methodology,J. S. Saltz; N. Hotz,Syracuse University; Indiana University,2020.0,2020 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377813,10.1109/BigData50022.2020.9377813,20230520-160000,20230521-044735,"['identifying', 'the', 'most', 'common', 'frameworks', 'data', 'science', 'teams', 'use', 'to', 'structure', 'and', 'coordinate', 'their', 'projects']",False,20230521-205332,,,,
19,ieeex,Adopting Agile Software Development Methodologies in Big Data Projects – a Systematic Literature Review of Experience Reports,"During the last decade, agile software development methodologies have been widely adopted in various project contexts. Big data projects are different from software engineering projects in all three aspects - people, processes and technologies. Recent research has shown that agile approaches are suitable and beneficial when applied in big data projects. The aim of the current study is to investigate which of the agile software development methodologies are currently applied in big data projects and what are the key considerations for their application. As a first step towards achieving this aim, the paper presents a systematic literature review of research articles reporting real-world experience of adopting agile methodologies in different big data science contexts. The findings of the study are beneficial to both practitioners and researchers to define and adopt agile approaches which are well suited for their big data projects.",agile software development;big data science;methodology adoption;real-world experience;systematic literature review,I. Krasteva; S. Ilieva,"GATE Institute, Software University ""St. Kliment Ohridski"", Sofia, Bulgaria; GATE Institute, Software University ""St. Kliment Ohridski"", Sofia, Bulgaria",2020.0,2020 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9378118,10.1109/BigData50022.2020.9378118,20230520-160000,20230521-044735,"['adopting', 'agile', 'software', 'development', 'methodologies', 'in', 'big', 'data', 'projects', '–', 'a', 'systematic', 'literature', 'review', 'of', 'experience', 'reports']",False,20230521-205332,,,,
20,ieeex,Applying Scrum in Data Science Projects,"The rise of big data has led to an increase in data science projects conducted by organizations. Such projects aim to create valuable insights by improving decision making or enhancing an organization's service offering through data-driven services. However, the majority of data science projects still fail to deliver the expected value. To increase the success rate of projects, the use of process models or methodologies is recommended in the literature. Nevertheless, organizations are hardly using them because they are considered too rigid and they do not support the typical iterative and open nature of data science projects. To overcome this problem, this research suggests applying Agile methodologies to data science projects. Agile methodologies were originally developed in the software engineering domain and are characterised by their iterative approach towards software development. In this study, we selected the Scrum approach and integrated it into the CRISP-DM methodology for data science projects using a Design Science Research approach. This new methodology was then evaluated in three different case organizations using expert interviews. Analysis of the expert interviews resulted in a further refinement of the Agile data science methodology proposed by this research.",Data Science;Agile;Scrum,J. Baijens; R. Helms; D. Iren,"Department of Information Science, Open University, Heerlen, The Netherlands; Department of Information Science, Open University, Heerlen, The Netherlands; Department of Information Science, Open University, Heerlen, The Netherlands",2020.0,2020 IEEE 22nd Conference on Business Informatics (CBI),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140255,10.1109/CBI49978.2020.00011,20230520-160000,20230521-044735,"['applying', 'scrum', 'in', 'data', 'science', 'projects']",False,20230521-205332,,,,
21,ieeex,Managing and Composing Teams in Data Science: An Empirical Study,"Data science projects have become commonplace over the last decade. During this time, the practices of running such projects, together with the tools used to run them, have evolved considerably. Furthermore, there are various studies on data science workflows and data science project teams. However, studies looking into both workflows and teams are still scarce and comprehensive works to build a holistic view do not exist. This study bases on a prior case study on roles and processes in data science. The goal here is to create a deeper understanding of data science projects and development processes. We conducted a survey targeted at experts working in the field of data science (n=50) to understand data science projects’ team structure, roles in the teams, utilized project management practices and the challenges in data science work. Results show little difference between big data projects and other data science. The found differences, however, give pointers for future research on how agile data science projects are, and how important is the role of supporting project management personnel. The current study is work in progress and attempts to spark discussion and new research directions.",Data science;agile practices;teamwork;project management,T. Aho; T. Kilamo; L. Lwakatare; T. Mikkonen; O. Sievi-Korte; S. Yaman,"TietoEvry, Tampere, Finland; Computing Sciences, Tampere University, Tampere, Finland; Computer Science, University of Helsinki, Helsinki, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Computing Sciences, Tampere University, Tampere, Finland; KPMG Finland, Helsinki, Finland",2021.0,2021 IEEE International Conference on Big Data (Big Data),IEEE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671737,10.1109/BigData52589.2021.9671737,20230520-160000,20230521-044735,"['managing', 'and', 'composing', 'teams', 'in', 'data', 'science:', 'an', 'empirical', 'study']",False,20230521-205332,,,,
